player_name,gp
Charlie Villanueva,656
Ervin Johnson,655
DeMarcus Cousins,654
Bryon Russell,652
Earl Boykins,652
Rodney Stuckey,651
Wally Szczerbiak,651
Ryan Anderson,649
Travis Best,649
Ruben Patterson,649
John Wall,647
Greg Monroe,646
Mario Chalmers,646
Nick Van Exel,645
Aaron Brooks,645
Mike James,644
Chuck Hayes,644
Trenton Hassell,644
Eric Piatkowski,643
Desmond Mason,643
Jim Jackson,642
Rodney Rogers,640
Joe Ingles,636
Jonas Jerebko,635
Andrew Wiggins,635
Mehmet Okur,634
Kenny Thomas,632
Anderson Varejao,632
Devean George,630
Jared Jeffries,629
Michael Redd,629
Chris Wilcox,628
Gorgui Dieng,628
Kawhi Leonard,628
Dahntay Jones,624
Anthony Carter,623
Shawn Bradley,622
Justin Holiday,622
Travis Outlaw,622
Maurice Harkless,621
Eduardo Najera,619
Ian Mahinmi,618
Nate Robinson,618
Jason Maxiell,618
Jerami Grant,618
Jason Smith,616
Emeka Okafor,616
Derek Anderson,615
Vlade Divac,614
Calbert Cheaney,612
Stacey Augmon,611
Michael Curry,611
Vitaly Potapenko,610
Michael Beasley,609
Wesley Johnson,609
Toni Kukoc,609
Brian Skinner,608
Latrell Sprewell,607
Kwame Brown,607
Chris Duhon,606
Mark Blount,605
Steven Smith,603
Allan Houston,602
Tony Snell,601
Elden Campbell,601
DeSagana Diop,601
C.J. Watson,600
E'Twaun Moore,598
Brian Grant,598
Clar. Weatherspoon,597
Nikola Jokic,596
Aaron Gordon,596
Alex Len,596
Julius Randle,595
Tyreke Evans,594
Eric Williams,594
Walter McCarty,593
Patrick Beverley,593
Joel Przybilla,592
Doug McDermott,591
Bonzi Wells,591
Omri Casspi,588
Jason Thompson,588
Jerome Williams,587
Dwight Powell,587
Michael Doleac,587
Jerryd Bayless,586
Danny Granger,586
Robert Covington,585
Lucious Harris,583
Mark Jackson,583
Damien Wilkins,582
Jon Barry,582
Sasha Vujacic,581
Marcus Smart,581
Martell Webster,580
DeMarre Carroll,578
Karl Malone,578
Bob Sura,578
Lamond Murray,578
Steve Francis,576
Jeff McInnis,576
Keith Van Horn,575
Anthony Peeler,574
Kyle Anderson,574
Jeremy Lamb,573
Alan Henderson,573
Wesley Person,573
George Lynch,571
Greg Buckner,570
Carlos Arroyo,569
Sasha Pavlovic,567
Andrew DeClercq,565
Luke Walton,564
Anthony Morrow,564
Sebastian Telfair,564
Mikki Moore,564
Andray Blatche,564
Raef LaFrentz,563
Rick Fox,562
Christian Laettner,562
Maurice Evans,562
Kevin Willis,560
Charlie Ward,558
Mickael Pietrus,557
T.J. McConnell,556
Ben McLemore,556
Zach LaVine,555
Mike Scott,555
Brandon Jennings,555
Lance Stephenson,554
Tyronn Lue,554
Alonzo Mourning,553
Pat Garrity,552
Gilbert Arenas,552
Ty Lawson,551
Andrea Bargnani,550
Isaiah Thomas,550
Francisco Garcia,549
Dorell Wright,549
Marquis Daniels,548
Buddy Hield,548
Jamaal Tinsley,547
Stromile Swift,547
O.J. Mayo,547
Vin Baker,545
Tony Delk,545
JaMychal Green,544
Ronnie Price,544
Jarron Collins,542
Kelvin Cato,541
Terry Rozier,540
Jodie Meeks,539
Kendall Gill,537
Clint Capela,536
Voshon Lenard,535
Tyus Jones,535
Gerald Henderson,535
JJ Hickson,534
Maurice Taylor,534
Trevor Booker,532
Devin Booker,530
Eddy Curry,527
Dan Gadzuric,527
Kelly Oubre Jr.,527
Fred Hoiberg,526
Glenn Robinson,526
Hakim Warrick,526
Rod Strickland,525
John Stockton,524
Trey Lyles,523
Bobby Portis,523
Aron Baynes,522
Brian Scalabrine,520
Roger Mason Jr.,518
Ryan Hollins,518
Troy Hudson,517
Gary Harris,516
Kenny Anderson,516
Andris Biedrins,516
Montrezl Harrell,515
Dewayne Dedmon,515
Andres Nocioni,514
Glen Davis,514
Carl Landry,513
Otto Porter Jr.,512
Reggie Bullock,512
Karl-Anthony Towns,511
Hassan Whiteside,511
Jason Kapono,509
Cody Zeller,509
Carlos Delfino,507
Kerry Kittles,507
Shawn Kemp,507
Josh Howard,507
Ryan Bowen,506
Scot Pollard,506
Jordan Farmar,504
Victor Oladipo,504
Darrell Arthur,503
Josh Richardson,503
Ronnie Brewer,502
Erick Strickland,501
Avery Johnson,500
Michael Olowokandi,500
Elfrid Payton,500
Jannero Pargo,499
Trey Burke,498
Tony Massenburg,496
Darius Songaila,495
Mike Muscala,495
D'Angelo Russell,495
Domantas Sabonis,494
Anthony Parker,494
Chris Whitney,493
Myles Turner,493
Royal Ivey,492
Joel Anthony,490
Joe Harris,488
Jakob Poeltl,488
Ryan Gomes,487
Flip Murray,487
Yao Ming,486
Sean Rooks,485
Marcus Thornton,483
Horace Grant,482
Norman Powell,481
Brandon Rush,481
Jeremy Lin,480
Matthew Dellavedova,479
Malik Allen,478
Kenneth Faried,478
Pat Connaughton,478
Adrian Griffin,477
Ronny Turiaf,473
Charles Oakley,473
Johan Petro,473
Francisco Elson,472
Kyle O'Quinn,472
Scottie Pippen,471
Jumaine Jones,471
Omer Asik,471
Pascal Siakam,471
Jaylen Brown,470
Milt Palacio,470
Darko Milicic,468
Nerlens Noel,467
Steve Novak,467
Spencer Dinwiddie,466
Bobby Simmons,466
Devin Brown,465
Anfernee Hardaway,463
Anthony Mason,463
Jusuf Nurkic,463
Delon Wright,461
Iman Shumpert,461
Larry Nance Jr.,461
Dorian Finney-Smith,460
Alvin Williams,460
Matt Carroll,459
Glen Rice,459
Danny Ferry,458
Quinton Ross,458
Meyers Leonard,456
Shelvin Mack,456
Brian Cardinal,456
Timofey Mozgov,454
Mark Madsen,453
Corie Blount,452
Langston Galloway,452
Brandon Knight,451
Jake Voskuhl,450
Stanley Johnson,449
Nemanja Bjelica,449
Kevon Looney,449
Tom Gugliotta,449
Scott Padgett,448
Rodney Hood,448
Solomon Hill,448
Marko Jaric,447
Royce O'Neale,446
Darius Miles,446
Michael Kidd-Gilchrist,446
John Henson,445
Samaki Walker,445
Moochie Norris,445
Walt Williams,442
Chandler Parsons,440
Danny Fortson,440
Jayson Tatum,439
Seth Curry,438
Robert Traylor,438
Gary Trent,437
Chris Mihm,436
Juan Dixon,436
Ivica Zubac,436
Sam Mitchell,435
Raul Neto,435
P.J. Tucker,434
Jamal Mashburn,434
Terry Porter,434
Josh McRoberts,433
Scott Williams,433
Davis Bertans,432
Delonte West,432
Ron Mercer,432
Bryn Forbes,431
Fred Jones,430
David Robinson,430
T.J. Ford,429
Lou Amundson,428
Derrick Williams,428
Tyler Hansbrough,428
Brandan Wright,428
Jarvis Hayes,427
DeJuan Blair,424
Taurean Prince,424
Hubert Davis,423
Kevin Seraphin,423
Derrick Coleman,422
Willie Cauley-Stein,422
Darrick Martin,421
Brian Shaw,421
Brian Cook,420
Dion Waiters,419
Nenad Krstic,419
Richaun Holmes,418
Bam Adebayo,418
Andrew Bynum,418
PJ Tucker,418
Malik Beasley,417
Darvin Ham,417
Tim Hardaway,417
Fred VanVleet,417
Johnny Newman,417
Alonzo Gee,417
Marcus Morris,416
Michael Ruffin,414
Tyler Zeller,414
Brandon Ingram,413
Donovan Mitchell,413
Frank Kaminsky,413
Dario Saric,413
LaPhonso Ellis,412
Jamal Murray,410
Chris Childs,410
Etan Thomas,409
